mail-10bm86dyrn89tbb5d895zwyt3e_INFO,mail-19mvyeegbc9m8rgv6hjnjfd4ha_HIGH,mail-1e9vyse1pv9tsvhajq08tk9cx2_LOW,mail-1e9vyse1pv9tsvhajq08tk9cx2_OK,mail-24cwrkk7yd9e8v8ak7pp09wvpd_OK,mail-274e1wpk469dh92xgg9x24zady_INFO,mail-2edjx24zym9wdat2k26b2yv66a_HIGH,mail-2edjx24zym9wdat2k26b2yv66a_OK,mail-2t766d683b93kaxgvwbrn9pb91_HIGH,mail-2tpy6dbyas9k6vwaybtc9qz7v4_HIGH,mail-2tpy6dbyas9k6vwaybtc9qz7v4_OK,mail-2vqyh2xx7e8rfa8xpjxznnvsxj_MEDIUM,mail-2vqyh2xx7e8rfa8xpjxznnvsxj_OK,mail-3a11gmbs308zerxee2c249r6ed_OK,mail-3an77340ah8vjtrxt832dxkajx_HIGH,mail-3an77340ah8vjtrxt832dxkajx_OK,mail-3avnzycn9q8ksaj9f1x6jk00j0_HIGH,mail-3v9bn2thf88bdr1jq3h06yks8b_HIGH,mail-3v9bn2thf88bdr1jq3h06yks8b_OK,mail-427ksdsnx28m6sj599te45f242_OK,mail-46cvtwg4ty9hha7p5wmg5ze7hq_HIGH,mail-46cvtwg4ty9hha7p5wmg5ze7hq_OK,mail-49qbd59hbw8rx9d3p8f9fjfk8k_HIGH,mail-49qbd59hbw8rx9d3p8f9fjfk8k_OK,mail-4ery90s5m29yvrgwwg7qahzqsn_LOW,mail-4ery90s5m29yvrgwwg7qahzqsn_OK,mail-4hqpmkf90398n8ee4hk3tjfpes_HIGH,mail-4hqpmkf90398n8ee4hk3tjfpes_OK,mail-4rqj80t00989cbpk8t5nnrazqp_HIGH,mail-4rqj80t00989cbpk8t5nnrazqp_OK,mail-4xgr1qyz418r9rrfxh4sxxpj5y_LOW,mail-4xgr1qyz418r9rrfxh4sxxpj5y_OK,mail-51p7x6zqwr8xc9q9rs6j58ynes_MEDIUM,mail-51p7x6zqwr8xc9q9rs6j58ynes_OK,mail-54v5e3z1px8y0ara5rafqr651t_HIGH,mail-5e0mwk5veh8j8ad1ek0eesvwqf_HIGH,mail-5e0mwk5veh8j8ad1ek0eesvwqf_OK,mail-5v5dtcb48c9ffv8p5ygmg54nnx_OK,mail-6c2t4ktp4488h8jhefxsamzxb0_HIGH,mail-6c2t4ktp4488h8jhefxsamzxb0_OK,mail-6cf167tydc9w1rp3ps9h3tx2dk_HIGH,mail-6jp6zdh3n68eprzz4p8ea4pcfs_HIGH,mail-6qk07qd2zf80aa8p75c25yrzkd_OK,mail-6txsgv29t387vvev78kh640x79_LOW,mail-6txsgv29t387vvev78kh640x79_OK,mail-7texy80ty7910tyt7q4h6s0t6b_HIGH,mail-awc908ksz9tybbe45bxffbnh4_MEDIUM,mail-awc908ksz9tybbe45bxffbnh4_OK,mail-f1jjp98c79s7a1fg5r3gf6j9b_HIGH,mail-f1jjp98c79s7a1fg5r3gf6j9b_OK,mail-wjc9j1dbr8ecb6kvfvxaxe3n1_HIGH,mail-xxk11qsr89estz7ej6cvje5yz_OK,company_reference,timestamp,score_value,internal_value
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,1,0,0,0,0,1,0,1,0,4,0,0,0,0,1,1,0,1,0,0,4,0,0,0,0,1,0,1,0,0,rat-2b9v12gvdr8d3v91rpa88vptpe,2024-07-13T13:37:31,550,50.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,1,0,1,0,2,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,1,0,1,0,0,rat-1r9296jd18822tm7sr50mshtcq,2024-10-27T13:37:31,550,50.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,1,0,1,0,3,0,0,0,0,1,1,0,1,0,0,3,0,0,0,0,1,0,1,0,0,rat-3pn4fnpf8k8hv8sxmcjdg09k9g,2024-11-28T13:37:31,550,50.0
0,0,0,0,0,0,0,2,0,0,2,0,2,2,0,2,0,0,10,0,0,0,0,2,2,0,0,0,0,0,0,10,2,0,0,2,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,rat-1by25k4k5z8dk8tz0e64h6bn1t,2024-07-13T14:45:34,510,45.0
0,0,1,0,0,0,0,3,0,0,3,0,3,3,0,3,0,0,12,1,0,1,0,3,3,0,0,1,0,1,0,12,3,0,0,2,1,1,0,1,0,0,12,3,0,0,0,1,0,1,0,0,rat-6c6yreapmk87dr75zega4ade0h,2024-08-07T18:33:05,563,51.66666666666667
0,0,1,0,0,0,0,3,0,0,3,0,3,3,0,3,0,0,11,1,0,1,0,3,3,0,0,1,0,1,0,11,3,0,0,2,1,1,0,1,0,0,11,3,0,0,0,1,0,1,0,0,rat-gp3tfpqjm90yap1j3zbdjrztg,2024-10-02T18:41:05,563,51.66666666666667
0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,rat-4y4fp62es8834sqg3qzpp8ttf4,2024-07-14T06:57:51,950,100.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,rat-14d17wsav683gs3aq2atm5zsr6,2024-07-13T10:37:42,710,70.0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,3,0,0,0,0,2,0,2,0,3,0,0,0,1,2,2,0,2,0,0,3,0,0,0,0,2,0,2,0,0,rat-2ng70apxja98wtjjd6b6qhq40t,2024-07-14T07:40:07,603,56.66666666666667
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,3,0,0,0,0,2,0,2,0,2,0,0,0,1,2,2,0,2,0,0,2,0,0,0,0,2,0,2,0,0,rat-222wb79vr78s2s63gsafnreae9,2024-11-14T07:40:07,603,56.66666666666667
